GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.spring.Services.Universite,UniversiteService,21,28,0,0,5,4,4,4,4,4
Foyer,tn.esprit.spring.Config,SpringDocConfig,166,0,0,0,45,0,11,0,11,0
Foyer,tn.esprit.spring.Services.Foyer,FoyerService,152,0,4,0,31,0,12,0,10,0
Foyer,tn.esprit.spring.Services.Chambre,ChambreService,430,0,46,0,75,0,37,0,13,0
Foyer,tn.esprit.spring.dao.entities,Universite,36,34,0,0,5,5,10,5,10,5
Foyer,tn.esprit.spring.dao.entities,Reservation.ReservationBuilder,45,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.dao.entities,Chambre,62,8,0,0,8,2,12,1,12,1
Foyer,tn.esprit.spring.dao.entities,Programme.ProgrammeBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Foyer.FoyerBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Chambre.ChambreBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Bloc,62,8,0,0,8,2,12,1,12,1
Foyer,tn.esprit.spring.dao.entities,Programme,39,21,0,0,7,2,11,2,11,2
Foyer,tn.esprit.spring.dao.entities,TypeChambre,0,21,0,0,0,2,0,1,0,1
Foyer,tn.esprit.spring.dao.entities,Universite.UniversiteBuilder,34,29,0,0,0,1,5,4,5,4
Foyer,tn.esprit.spring.dao.entities,Reservation,60,0,0,0,9,0,11,0,11,0
Foyer,tn.esprit.spring.dao.entities,Etudiant,82,8,0,0,10,2,16,1,16,1
Foyer,tn.esprit.spring.dao.entities,Foyer,62,8,0,0,8,2,12,1,12,1
Foyer,tn.esprit.spring.dao.entities,Bloc.BlocBuilder,54,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Etudiant.EtudiantBuilder,72,0,0,0,1,0,10,0,10,0
Foyer,tn.esprit.spring.dao.entities,TypeUniversite,0,15,0,0,0,3,0,1,0,1
Foyer,tn.esprit.spring.Services.Bloc,BlocService,180,0,10,0,39,0,14,0,9,0
Foyer,tn.esprit.spring.AOP,FoyerAspect,36,0,0,0,11,0,5,0,5,0
Foyer,tn.esprit.spring.Services.Reservation,ReservationService,331,0,18,0,67,0,22,0,12,0
Foyer,tn.esprit.spring.Schedular,Schedular,3,0,0,0,1,0,1,0,1,0
Foyer,tn.esprit.spring.Schedular,test,7,0,0,0,2,0,2,0,2,0
Foyer,tn.esprit.spring.Services.Etudiant,EtudiantService,35,0,0,0,8,0,6,0,6,0
Foyer,tn.esprit.spring,FoyerApplication,5,3,0,0,2,1,1,1,1,1
Foyer,tn.esprit.spring.RestControllers,EtudiantRestController,30,0,0,0,8,0,6,0,6,0
Foyer,tn.esprit.spring.RestControllers,ChambreRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.RestControllers,UniversiteRestController,30,0,0,0,8,0,6,0,6,0
Foyer,tn.esprit.spring.RestControllers,BlocRestController,42,0,0,0,10,0,8,0,8,0
Foyer,tn.esprit.spring.RestControllers,ReservationRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.RestControllers,FoyerRestController,47,0,0,0,11,0,9,0,9,0
